Henry Bedwell,Más negro que la noche (2014)
T. Michael Conway,June 9 (2008)
Padam Kumar,Supari (2003)
Dean Teaster,Ghost Town: The Movie (2007)
Tessa Schram,Pijnstillers (2014)
Saeko Aoki,Hikaru no go (2001)
Hugh (III) Martin,Crank Yankers (2002)
David (II) Mandel,EuroTrip (2004)
Roger Cantin,La forteresse suspendue (2001)
Shawn Ku,Beautiful Boy (2010),Pretty Dead Girl (2004)
Michael (I) Damian,Hot Tamale (2006),Love by Design (2014),Moondance Alexander (2007)
Joseph G. Quinn,All in for the 99% (2012),Occupy Los Angeles (2012)
Sukumar (I) ,1 - Nenokkadine (2014),100% Love (2011),Arya (2004),Arya 2 (2009),Jagadam (2007)
James (VI) Feeney,Killer Kart (2012)
Aaron (II) Marshall,Zombie Girl: The Movie (2009)
Roger (II) Hawkins,The Lion of Judah (2011)
Imtiaz Ali,Highway (2014/I),Jab We Met (2007),Love Aaj Kal (2009),RockStar (2011),Socha Na Tha (2005)
Anil (II) Radhakrishnan,North 24 Kaatham (2013)
Sung-ho Kim,Geoul sokeuro (2003),Mu-seo-un Iyagi 2 (2013)
Alexander (I) Nevsky,Black Rose (2014)
Renaud Le Van Kim,Le grand journal de Canal+ (2004)
Mark Kitchell,A Fierce Green Fire (2012)
Fansu Njie,Bad Dreams (2006)
Maqbool Khan,Lanka (2011)
Arie Posin,The Chumscrubber (2005),The Face of Love (2013)
Mauro Mendonça Filho,Dupla Identidade (2014)
Geraldine Winters,Clownstrophobia (2009)
Risto Topaloski,Film Noir (2007)
Przemyslaw Nowakowski,Hochzeitspolka (2010)
Tanel Toom,The Confession (2010/IV)
Simon Cellan Jones,The One and Only (2002)
Keisuke Toyoshima,Kaidan Shin Mimibukuro: Gekijô-ban (2004),Kowai onna (2006),Yume jû-ya (2006),Kaidan Shin Mimibukuro (2003)
Jean-Paul Rouve,Les souvenirs (2014),Quand je serai petit (2012)
Daniel Charles Turner,Storm (2011)
Luke Doolan,Miracle Fish (2009)
Curtiss Clayton,Rick (2003)
Serkan Acar,Ask ve devrim (2011),Bizum Hoca (2014)
Mario Sesti,L'ultima sequenza (2003)
Adam (I) Curtis,The Trap: What Happened to Our Dream of Freedom (2007)
John (I) Strickland,Bodies (2004),Trust (2003)
François (I) Girard,Boychoir (2014),Silk (2007)
Sasha Krane,Machete Joe (2010)
Ryan Turek,Still Screaming: The Ultimate Scary Movie Retrospective (2011)
Damon Packard,Reflections of Evil (2002)
John Rauschelbach,The Lodge (2008)
Jessica Hausner,Amour fou (2014),Hotel (2004),Lourdes (2009),Lovely Rita (2001)
Tim (I) Hunter,Control (2004),The Far Side of Jericho (2006),Out of Order (2003)
Ville Jankeri,Pussikaljaelokuva (2011)
Aneta Lesnikovska,Boli li? Prvata balkanska dogma (2007)
Hank Whetstone,The Code Conspiracy (2002)
Brad Jurjens,Hired Gun (2009)
Kevin Asch,Affluenza (2014),Holy Rollers (2010)
Esteban Vidal,Barrio Universitario (2013)
Georges Hachem,Rsasa taycheh (2010)
Michael (II) Oswald,97% Owned (2012)
Andy Wachowski,Cloud Atlas (2012),Jupiter Ascending (2015),Speed Racer (2008),The Matrix Reloaded (2003),The Matrix Revolutions (2003)
Mandeep Benipal,Sadda Haq (2013)
Theis Mølstrøm Christensen,Simon & Malou (2009)
Kunihiko Yuyama,Gekijoban Pocket Monster Best Wishes! Kyurem vs Seikenshi Keldeo (2012),Gekijoban Poketto Monsuta besuto uisshu bikutini to kuroki eiyu zekuromu (2011),Gekijouban Poketto monsutâ Adobansu jenerêshon: Myuu to hadou no yuusha Rukario (2005),Gekijouban Poketto monsutâ Adobansu jenerêshon: Nanayo no negaiboshi Jirâchi (2003),Gekijouban Poketto monsutâ Adobansu jenerêshon: Rekkuu no houmonsha Deokishisu (2004),Gekijouban Poketto monsutâ: Daiamondo & Pâru - Gen'ei no hasha Zoroâku (2010),Gekijouban Pokketo monsutâ Besuto wisshu: Bikutini to shiroku eiyuu Reshiramu (2011),Gekijouban Pokketto monsutâ Besuto uisshu: Shinsoku no Genosekuto Myûtsû kakusei (2013),Gekijô ban poketto monsutâ: Daiamondo pâru - Diaruga vs Parukia vs Dâkurai (2007),Gekijô ban poketto monsutâ: Daiyamondo & Pâru - Giratina to sora no hanataba Sheimi (2008),Gekijô-ban poketto monsutaa: Mizu no Miyako no Mamori Gami Ratiasu to Ratiosu (2002),Gekijô-ban poketto monsutâ: Adobansu jenerêshon pokemon renjâ to umi no ôji manafi (2006),Gekijôban poketto monsutâ: Daiyamondo & pâru purachina - Aruseusu chôkoku no jikû e (2009),Pokemon Za Mûbî XY: Hakai no Mayu to Dianshî (2014),Poketto monsutâ: Serebî - Toki wo koeta deai (2001)
Steve Loter,Tarzan & Jane (2002),Tarzan & Jane (2002)
Mohamed Al Daradji,Ahlaam (2006),Syn Babilonu (2009)
Jamie Donahue,Billy's Dad Is a Fudge-Packer! (2004)
Ricardo (I) Freitas,Último a Sair (2011)
Matt (I) Codd,Shark Hunter (2001)
Peter (I) Kay,Car Share (2015)
Shôhei (I) Imamura,11'09''01 - September 11 (2002),Akai hashi no shita no nurui mizu (2001)
Manolo (IV) Gómez,El bosque animado (2001),El sueño de una noche de San Juan (2005)
Sven Unterwaldt Jr.,7 Zwerge (2004),7 Zwerge - Der Wald ist nicht genug (2006),Otto's Eleven (2010),Siegfried (2005),U-900 (2008),Wie die Karnickel (2002)
Holger T. Schmidt,Was guckst Du?! (2001)
Aljosha Klimov,First Squad: The Moment of Truth (2009)
Hiroyuki Hata,Amagami SS (2010),Girls und Panzer (2012),Kamichu! (2005),Shinryaku! Ika Musume (2010)
Alan (I) Taylor,Kill the Poor (2003),Terminator Genisys (2015),The Emperor's New Clothes (2001),Thor: The Dark World (2013)
Chris Peckover,Undocumented (2010)
Paul (XIII) Davis,Beware the Moon: Remembering 'An American Werewolf in London' (2009),Him Indoors (2012)
Ben Verbong,Das Sams (2001),Es ist ein Elch entsprungen (2005),Sams in Gefahr (2003),Takiye: Allah yolunda (2010)
Brandon (I) Nicholas,Desert Son (2010)
Tim (I) Searle,2DTV (2001)
Daniel (II) Barone,El día que me amen (2003)
Del Rangel ,Os Maias (2001)
Derrick Sims,Come Morning (2012)
Mary Elizabeth McGlynn,Appurushîdo (2004)
Cutter (I) Hodierne,Fishing Without Nets (2014),Jallaabasho shabaq la'aan (2012)
Michael Corrente,Brooklyn Rules (2007),Loosies (2011)
Adele Bertei,Ocean Ave. (2002)
Daniel (I) Toland,Anuvahood (2011)
Peter Stylianou,Who Needs Enemies (2013)
Aris Chatzistefanou,Catastroika (2012),Debtocracy (2011)
Lisa Munthe,Armbryterskan från Ensamheten (2004)
William Tyler Smith,Kiss Me Again (2006)
Derek Cianfrance,Blue Valentine (2010),The Place Beyond the Pines (2012)
Chaerul Umam,Ketika cinta bertasbih (2009)
Gonzalo Arijon,Stranded: I've Come from a Plane That Crashed on the Mountains (2007)
Paul (I) Morrell,Huff (2013)
Erwin Wagenhofer,Alphabet (2013),Let's Make Money (2008),We Feed the World (2005)
Kôji Masunari,Uchû shô e yôkoso (2010),Kamichu! (2005),R.O.D the TV (2003)
Lisa Ades,Fabulous! The Story of Queer Cinema (2006)
Alan (I) Ball,Nothing Is Private (2007)
Jean-Paul Salomé,Arsène Lupin (2004),Belphégor - Le fantôme du Louvre (2001),Je fais le mort (2013),Les femmes de l'ombre (2008),The Chameleon (2010)
Espen Fyksen,Elias og kongeskipet (2007)
Melanie Shatzky,Francine (2012)
Saji Surendran,Four Friends (2010),Happy Husbands (2010),Husbands in Goa (2012),Ivar Vivahitharayal...? (2009)
Jacobo Rispa,No debes estar aquí (2002)
Chi Po-lin,Beyond Beauty: Taiwan from Above (2013)
Jonathan Gershfield,Three and Out (2008)
Jonas Quastel,Forced to Fight (2011),Ripper 2: Letter from Within (2004),Scourge (2008)
Eric Toledano,Intouchables (2011),Je préfère qu'on reste amis (2005),Nos jours heureux (2006),Samba (2014),Tellement proches (2009)
Mikkel Munch-Fals,Smukke mennesker (2010)
Wai-yan (I) Chan,Oi dau dai (2008)
Scott McKinsey,Guarding Eddy (2004)
Tadafumi Ito,Karasu no oyayubi (2012),Umezu Kazuo: Kyôfu gekijô - Zesshoku (2005)
Mattias (III) Ohlsson,Arne Dahl: Europa blues (2012)
Hakki Kurtulus,Gözümün nûru (2013),Orada (2009)
Curtis (I) Graham,The Investigator (2013/II)
Michael Satzinger,Das Flüstern des Mondes (2006)
Ben (I) Falcone,Tammy (2014)
Oliver Mielke,Ossi's Eleven (2008)
Ari Kristinsson,Duggholufólkið (2007)
Nick Sommer,Billy Club (2013)
Ayhan Sonyürek,Unutulmayanlar (2006)
Jennifer (I) Arnold,Glee: The 3D Concert Movie (2011)
Claire (I) McCarthy,The Turning (2013/I),The Waiting City (2009)
Leticia (I) Tonos,Cristo Rey (2013),La hija natural (2011)
Ieroklis Michaelidis,Ziteitai pseftis (2010)
Jonathan Demme,A Master Builder (2013),Jimmy Carter Man from Plains (2007),Neil Young Journeys (2011),Neil Young: Heart of Gold (2006),Rachel Getting Married (2008),Ricki and the Flash (2015),The Agronomist (2003),The Manchurian Candidate (2004),The Truth About Charlie (2002)
Mansoor Mujahid,Seedlings (2013/II)
Joe (II) Lawlor,Helen (2008/I),Mister John (2013)
Rafi Pitts,It's Winter (2006),The Hunter (2010/I)
Hajime Ishimine,Naisu no mori: The First Contact (2005)
Gennadi Sidorov,Starukhi (2003),Apostol (2008)
Komal (I) Tolani,Sunset Bollywood (2005)
Carlos Portugal,East Side Story (2006/I),Lip Service (2013)
Laurent Firode,My First Wedding (2006)
Rick Famuyiwa,Brown Sugar (2002),Dope (2015),Our Family Wedding (2010)
Alejandro Jodorowsky,La danza de la realidad (2013)
Ava DuVernay,I Will Follow (2010),Middle of Nowhere (2012),Selma (2014)
Christian Ryltenius,Bamse och tjuvstaden (2014)
Ruxandra Zenide,Ryna (2005)
T.J. Amato,Brother's Keeper (2013/I)
Jeff Mahler,Inside (2006/I)
Phil Donahue,Body of War (2007)
Kirk (I) Davis,Screen Door Jesus (2003)
Kutlug Ataman,Iki genç kiz (2005),Kuzu (2014)
Mike (VII) Reilly,Road to Victory (2007)
Santiago Loza,Extraño (2003)
Ulas Ak,Avrupali (2007),Dün gece bir rüya gördüm (2006)
Yukio Nishimoto,JoJo no kimyô-na bôken (2012)
Vsevolod Plotkin,Lift (2006/II)
Danilo (I) Mancinelli,Faded Dreams (2007)
Mark (II) Albiston,The Six Dollar Fifty Man (2009)
Mari Rantasila,Risto Räppääjä (2008),Risto Räppääjä ja polkupyörävaras (2009),Risto Räppääjä ja viileä Venla (2012)
Jeff Crook,Rockaway (2007),Salvage (2006),Sucker Punch (2003)
Keith Behrman,Flower & Garnet (2002)
Katharina Otto-Bernstein,Absolute Wilson (2006)
Amanda (I) Jane,The Wedding Party (2010)
Manne Lindwall,Lejontämjaren (2003),Rosa: The Movie (2007)
Gopal Reddy S.,Naa Autograph Sweet Memories (2004)
Audrey Brohy,The Hidden Wars of Desert Storm (2001),The Oil Factor: Behind the War on Terror (2005)
Mathieu Amalric,La chambre bleue (2014),Le stade de Wimbledon (2001),Tournée (2010)
Alec Baldwin,The Devil and Daniel Webster (2003)
Xavier Villaverde,El sexo de los ángeles (2012),Trece campanadas (2002)
Becky (I) Smith,16 to Life (2009)
Todd (II) Burrows,Sparks (2013/I)
Joshua (II) Wagner,The Badger Game (2014)
John Orrichio,Abduction (2009),Black Ribbon (2007)
Doug (I) Pray,Art & Copy (2009),Infamy (2005),Levitated Mass (2013),Scratch (2001)
Tsutomu Shibayama,Doraemon: Nobita to fushigi kazetsukai (2003)
Tine (I) Thomasen,The Color of Time (2012/II)
Tetsuo Ichimura,Kurenai (2008),Rozario to banpaia (2008),Tatakau shisho (2009)
Jyri Kähönen,Ja saapuu oikea yö (2012)
Chuck (I) Rose,Come as You Are (2005)
R. Christian Anderson,Defcon 2012 (2010)
Zola Maseko,Drum (2004)
Johan (I) Wester,Hipp hipp - Itzhaks julevangelium (2006)
Richard Bracewell,Cuckoo (2009),The Gigolos (2006)
Karan Johar,Bombay Talkies (2013),Kabhi Alvida Naa Kehna (2006),Kabhi Khushi Kabhie Gham... (2001),My Name Is Khan (2010),Student of the Year (2012)
Tuukka Temonen,Presidentintekijät (2014)
Tomasz Wiszniewski,Where Eskimos Live (2002),Wszystko bedzie dobrze (2007)
Mark (I) Constable,Uncle Jonny (2008)
Greg (I) Franklin,The Drawn Together Movie: The Movie! (2010)
Kalle Max Hofmann,Our Universe 3D (2013)
Peter (I) Masterson,Lost Junction (2003)
Kyun-dong Yeo,1724 Gibangnandongsageon (2008),Yeoseot gae ui siseon (2003)
Vassil Stefanov,Liaisons (2015)
André Forcier,Je me souviens (2009/I),Les états-Unis d'Albert (2005)
Josh C. Waller,McCanick (2013),Raze (2013)
Georg (I) Maas,Zwei Leben (2012)
Tim Disbrow,Card Subject to Change (2010)
Andrea Schumacher,00 Schneider - Im Wendekreis der Eidechse (2013)
Tom Van Avermaet,Dood van een Schaduw (2012)
Geun-shik Jo,Geuhae yeoreum (2006),Poom-haeong-je-ro (2002)
Laurence Connor,The Phantom of the Opera at the Royal Albert Hall (2011)
Nigel (I) Cole,$5 a Day (2008),A Lot Like Love (2005),All in Good Time (2012),Calendar Girls (2003),Made in Dagenham (2010),The Wedding Video (2012)
Mark (II) McQueen,Devil's Playground (2010)
Paul Tanter,Essex Boys Retribution (2013),He Who Dares (2014),He Who Dares: Downing Street Siege (2014),Jack Falls (2011),Shame the Devil (2013),The Disappearance of Lenka Wood (2014),The Fall of the Essex Boys (2013),The Hooligan Wars (2012),The Rise & Fall of a White Collar Hooligan (2012),White Collar Hooligan 2: England Away (2013),White Collar Hooligan 3 (2014)
Nikhil (II) Sinha,Devon Ke Dev... Mahadev (2011)
Adam (I) Bowers,New Low (2010)
Kazuyuki (I) Morosawa,Dear Friends (2007)
James D. (II) Cooper,Lambert & Stamp (2014)
Arthur Louis Fuller,Assassins Tale (2013)
Nico Mastorakis,.com for Murder (2002)
Remo (I) ,Any Body Can Dance 2 (2015),F.A.L.T.U (2011)
Devi (III) Prasad,Blade Babji (2008)
Ettore Scola,Che strano chiamarsi Federico (2013),Concorrenza sleale (2001),Gente di Roma (2003)
Tim (XIII) Carter,Dead Rising (2015)
Laurent Courau,Vampyres (2007)
Dewey Nicks,Slackers (2002)
Hong-seon Kim,Gong-mo-ja-deul (2012),Ki-sool-ja-deul (2014)
Trish Doolan,April's Shower (2003)
David A.R. White,Holyman Undercover (2010),Me Again (2012),The Book of Esther (2013),The Encounter (2010/I)
Tomoyuki Itamura,Hanamonogatari (2014)
Tony Gatlif,Exils (2004),Geronimo (2014/I),Korkoro (2009),Swing (2002/I),Transylvania (2006),Visions of Europe (2004)
Bruno de Almeida,The Lovebirds (2007)
Bjorn (I) Anderson,Eyes in the Dark (2010)
Deborah Twiss,A Cry from Within (2014)
Maksim Korostyshevsky,Dura (2005)
Hal Hartley,Fay Grim (2006),Kimono (2001),Meanwhile (2011/III),Ned Rifle (2014),No Such Thing (2001),The Girl from Monday (2005)
Dana Doll,Bad Kitties (2013)
Benjamin Mark,Heavy Times (2010)
Yumi Kamakura,Midori no hibi (2004)
Maurice Jamal,Dirty Laundry (2006/I),The Ski Trip (2004)
Jonathan English,Ironclad (2011),Ironclad: Battle for Blood (2014),Minotaur (2006)
Momoko Andô,Kakera (2009/I)
Chris (II) Ethridge,The Morningside Monster (2014)
Libero De Rienzo,Sangue: La morte non esiste (2005)
Grant Heslov,The Men Who Stare at Goats (2009)
M.S. Manimaran,Udhayam NH4 (2013)
Milos Pusic,Odumiranje (2013)
Gulshat Omarova,Baksy (2008),Shiza (2004)
Saranyoo Jiralak,Ruedoo ron nan chan tai (2013)
Scooter Downey,It's in the Blood (2012)
David (X) Liu,The Legend of Silk Boy (2010)
Olias (I) Barco,Kill Me Please (2010),Snowboarder (2003)
Uday Ananthan,Kerala Cafe (2009)
Eric Stange,The War That Made America (2006)
Matthew (I) Parkhill,Dot the I (2003),The Caller (2011)
Pascal Vuong,Sea Rex 3D: Journey to a Prehistoric World (2010)
Harold Ramis,Analyze That (2002),The Ice Harvest (2005),Year One (2009)
Eric Chaikin,A Lawyer Walks Into a Bar... (2007),Word Wars (2004)
Joseph Ruben,Penthouse North (2013),The Forgotten (2004)
Matt Tyrnauer,Valentino: The Last Emperor (2008)
Paul (III) Hart,Homewrecker (2009)
Mads Juul,Æblet & ormen (2009)
Peter Paige,Leaving Barstow (2008),Say Uncle (2005)
Amol Shetge,Gunaah (2002)
Michael (I) Showalter,The Baxter (2005)
William (I) Butler,Furnace (2007),Gingerdead Man 3: Saturday Night Cleaver (2011),Madhouse (2004)
Georgiy Dronov,Schastlivy vmeste (2006)
Tore Haukenes,Rikets røst (2005)
Hunter G. Williams,Call to Action (2012),Cornered (2011),Shooting for Something Else (2011),Shooting for Tomorrow (2011),The Crying Dead (2011),Tomorrow's End (2011)
Derek Estlin Purvis,Sunny Side Up (2011)
Gor Kirakosian,Big Story in a Small City (2006),Bilet na Vegas (2013),Lost and Found in Armenia (2012)
Matt L. Lockhart,The Watermen (2012)
Kasper Barfoed,Kandidaten (2008),Min søsters børn i Ægypten (2004),Tempelriddernes skat (2006),The Numbers Station (2013)
Peter Bösenberg,Die Österreichische Methode (2006)
Reinhard Radke,Serengeti (2011)
John Kafka,Dino Time (2012)
Luis Javier M. Henaine,Tiempos Felices (2014)
Yolanda García Serrano,¡Hay motivo! (2004)
Cevriye Demir,Melekler korusun (2009)
Hanumantha Rao Raghavapudi,Andala Rakshasi (2012)
Alexander Witt,Resident Evil: Apocalypse (2004)
Tzi-Chiao Huang,Ai dao di (2009)
Chan-wook (I) Park,A Rose Reborn (2014),Bakjwi (2009),Boksuneun naui geot (2002),Chinjeolhan geumjassi (2005),Oldeuboi (2003),Paranmanjang (2011),Saam gaang yi (2004),Ssa-i-bo-geu-ji-man-gwen-chan-a (2006),Stoker (2013),Yeoseot gae ui siseon (2003)
Akira Boch,The Crumbles (2012)
Bruce (I) Morris,El gran milagro (2011)
Bret (II) Wood,Hell's Highway: The True Story of Highway Safety Films (2003),Psychopathia Sexualis (2006),The Unwanted (2014)
Àlex Ollé,Fausto 5.0 (2001)
Yang (II) Zhang,Luo ye gui gen (2007),Wu ren jia shi (2010),Xiang ri kui (2005)
Mahur Özmen,Adalet oyunu (2011)
Keven Undergaro,Adventures of Serial Buddies (2011)
Urs Egger,Epsteins Nacht (2002)
Mrigdeep Singh Lamba,Fukrey (2013),Teen Thay Bhai (2011)
Jerry Alden Deal,Dreams Awake (2011)
José Miguel Juárez,Cosa de brujas (2003)
Paulo Machline,Natimorto (2009)
Chris (II) Kennedy,A Man's Gotta Do (2004)
Andres Kõpper,Vasaku jala reede (2012)
Paul Feig,Bridesmaids (2011/I),I Am David (2003),Spy (2015),The Heat (2013/I),Unaccompanied Minors (2006),Other Space (2015)
Virgil Nicolaescu,The Godmother (2011)
Mark (I) Haber,Chasing the Devil (2014)
Juan Schnitman,El amor - primera parte (2005)
Benicio Del Toro,7 días en La Habana (2012)
Jon Binkowski,The Visitant (2014/II)
Antonio Bocola,Fame chimica (2003)
Josh (I) Evans,Che Guevara (2005),Everybody Dies (2009)
Denis (I) Langlois,Amnesia: The James Brighton Enigma (2005),Danny in the Sky (2001)
Max (I) Mayer,Adam (2009/I),As Cool as I Am (2013)
Lexi (I) Alexander,Hooligans (2005),Johnny Flynton (2002),Lifted (2010),Punisher: War Zone (2008)
Véronique Reymond,La petite chambre (2010)
McG ,3 Days to Kill (2014),Charlie's Angels: Full Throttle (2003),Terminator Salvation (2009),This Means War (2012),We Are Marshall (2006)
Andrea (I) Pallaoro,Medeas (2013)
Jonatan Spang,Talenttyven (2012)
David Ondaatje,The Lodger (2009)
Pascal Pinon,Kaena: La prophétie (2003)
Daniel Kusan,Koko i duhovi (2011)
Ittisoontorn Vichailak,Hom rong (2004)
Svetozar Ristovski,Dear Mr. Gacy (2010),Iluzija (2004)
Kenton Bartlett,Missing Pieces (2012)
David (XXVIII) Brooks,ATM (2012/I)
Grzegorz Muskala,Das Mädchen mit den gelben Strümpfen (2008)
Mehmet Aslantug,Askin ikinci yarisi (2010)
Carlos Cuarón,Besos de Azúcar (2013),Me la debes (2002),Rudo y Cursi (2008)
Dan Dobi,Please Subscribe (2012)
Paulo Henrique Fontenelle,Loki - Arnaldo Baptista (2008)
Wai Man Yip,An Na yu wu lin (2003),Jing Cheng 81 Hao (2014),Li xiao long (2010),Pao zhi nu peng you (2003),Ren zai jiong tu (2010),Tau ming chong (2007)
Gary Leva,Fog City Mavericks (2007)
Steven Dieveney,Big Game (2008)
Matthew (I) Campagna,Six Reasons Why (2008)
Sara Colangelo,Little Accidents (2014)
Jason (II) Berry,Chasing Legends (2010)
Shiloh Strong,Girl Meets World (2014)
Jennifer M. Kroot,It Came from Kuchar (2009),To Be Takei (2014)
Seijun Suzuki,Operetta tanuki goten (2005),Pisutoru opera (2001)
Theodore Melfi,St. Vincent (2014)
Joseph W. Sarno,Suburban Secrets (2004)
Nikhil Advani,Chandni Chowk to China (2009),D-Day (2013/I),Delhi Safari (2012),Kal Ho Naa Ho (2003),Patiala House (2011),Salaam-E-Ishq (2007)
Vedat Özdemir,F Tipi Film (2012)
Amiel Courtin-Wilson,Bastardy (2008),Hail (2011),Venice 70: Future Reloaded (2013)
Amos Gitai,11'09''01 - September 11 (2002),Alila (2003),Ana Arabia (2013),Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence (2007),Disengagement (2007),Eden (2001/I),Free Zone (2005),Kedma (2002),Plus tard (2008),Promised Land (2004/II),Venice 70: Future Reloaded (2013),Words with Gods (2014)
Drew Esocoff,Vancouver 2010: XXI Olympic Winter Games (2010)
József (I) Sipos,Eszter hagyatéka (2008)
Paulo Betti,Cafundó (2005)
J.C. Reifenberg,Jay & Silent Bob Get Old: Classic (2012)
Hector Echavarria,Chavez Cage of Glory (2013),Never Surrender (2009)
Tony Aloupis,Safelight (2015)
Rodolfo Riva Palacio Alatriste,Otra película de huevos y un pollo (2009),Una película de huevos (2006)
Sang Man Kim,Simya-ui FM (2010)
Mark A.Z. Dippé,The Boxcar Children (2014),The Reef 2: High Tide (2012)
Dmitriy (I) Voronkov,My iz budushchego 2 (2010)
Dan (XXII) Brown,Your Lucky Day (2010)
Shirô Sano,Kaidan Shin Mimibukuro (2003)
M. dot Strange,Heart String Marionette (2012),We Are the Strange (2007)
Kris (VII) Smith,Damage (2012/II),I'm Still Here (2013/I),The Lost School (2011),Z-Lister (2012),Z-Listers (2014)
Eric-Emmanuel Schmitt,Odette Toulemonde (2006),Oscar et la dame rose (2009)
Paul (I) Epstein,The Last Harbor (2010)
Maria Blom,Fishy (2008),Hallå hallå (2014),Masjävlar (2004),Nina Frisk (2007)
Jesse (II) Rosen,The Art of Being Straight (2008)
Jonathan (II) Levine,50/50 (2011),All the Boys Love Mandy Lane (2006),The Wackness (2008),Warm Bodies (2013)
Kantz (I) ,Love and a Bullet (2002),Urgency (2010),Wasteland (2011/I)
Steve (XVI) Clark,Frost (2008),Night Has Settled (2014)
Sören Voigt,Identity Kills (2003)
Matt (II) Flynn,Hack! (2007)
William Sachs,Spooky House (2002)
Gina Prince-Bythewood,Beyond the Lights (2014),The Secret Life of Bees (2008)
John Pilger,The War on Democracy (2007),The War You Don't See (2010),Utopia (2013/II)
Yasufumi Soejima,Ani*Kuri15 (2007)
Nisha (I) Ganatra,Cake (2005/I),Fast Food High (2003)
Arild Fröhlich,Doktor Proktors prompepulver (2014),Fatso (2008),Folk flest bor i Kina (2002),Pitbullterje (2005)
Milo Ventimiglia,It's a Mall World (2007)
Chan-sang Lim,Hyojadong ibalsa (2004),Na-eui sa-lang na-eui sin-boo (2014)
Paul J. (I) Lombardi,Megiddo: The Omega Code 2 (2001)
Danny (III) Green,The Tenants (2005)
Jordan (I) Blum,Savage (2009/I)
Tony Hawks,Playing the Moldovans at Tennis (2012)
Shawn (III) Jones,WNUF Halloween Special (2013)
Shay Kanot,Ahava Colombianit (2004),Kicking Out Shoshana (2014)
Xavi Puebla,A puerta fría (2012)
Preben (I) Lorentzen,Grønne hjerter (2006)
Wei (III) Dong,Hua Mulan (2009)
Karin Babinská,Pusinky (2007)
Stathis Athanasiou,Dos (2011)
Haluk Piyes,Kanimdaki Barut (2009)
Duncan Skiles,Our RoboCop Remake (2014)
Graham Reznick,I Can See You (2008)
Hugh Ballantyne,Finding Jesus: Faith. Fact. Forgery. (2015)
James (I) Arnett,The Last Man (2008)
Jan Dalchow,Fremragende timer (2003)
Shaun (I) Magher,Pulp (2013)
Hirotsugu Kawasaki,Gekijô-ban Naruto: Daigekitotsu! Maboroshi no chitei iseki dattebayo! (2005),Onigamiden (2011)
Pat (X) Collins,Silence (2012/III)
Barry Zetlin,Man of the Year (2002)
Josh (II) Moody,Season of Miracles (2013)
Eric Heisserer,Hours (2013)
Richard (I) Kwietniowski,Owning Mahowny (2003)
Eric Allen Bell,Bondage (2006),Missing Sock (2004),Not Welcome (2013)
Tanuja Chandra,Sur: The Melody of Life (2002),Zindaggi Rocks (2006)
Fernando (I) Meirelles,360 (2011),Blindness (2008),Cidade de Deus (2002),Domésticas (2001),The Constant Gardener (2005)
Maya Forbes,Infinitely Polar Bear (2014)
Yoji Fukuyama,Genius Party (2007)
Martín Mariani,Floricienta (2004),Rebelde Way (2002)
Valentin Hotea,Roxanne (2013)
Damien (I) O'Donnell,Heartlands (2002),Inside I'm Dancing (2004),The Savage Eye (2009)
Richard J. Lewis,Barney's Version (2010)
Philippe Falardeau,Congorama (2006),Monsieur Lazhar (2011),The Good Lie (2014)
Gavin Millar,Albert Schweitzer (2009)
Douglas Boswell,Labyrinthus (2014)
Felipe Aljure,El colombian dream (2005)
Nathan Larkin-Connolly,A Sense of Humor (2011)
Michel (I) Royer,Being W (2008),Dans la peau de Jacques Chirac (2006)
Amyn Kaderali,Call Center (2005),Kissing Cousins (2008)
Tommy Krappweis,Mara und der Feuerbringer (2015)
Giorgos Siougas,To gala (2011),Vera sto dexi (2004)
Agnès Varda,Le lion volatil (2003),Les glaneurs et la glaneuse... deux ans après (2002),Les plages d'Agnès (2008)
Samuel Benchetrit,Chez Gino (2011),J'ai toujours rêvé d'être un gangster (2007),Janis et John (2003)
Josh (I) Daws,Dangerous Calling (2008)
Chris Diani,Creatures from the Pink Lagoon (2006)
Lawrence Riggins,Assassins' Code (2011)
Tommy Woodard,Zombieworld (2015)
Roar Uthaug,Flukt (2012),Fritt vilt (2006),Julenatt i Blåfjell (2009)
Mark Nunneley,Kismet Diner (2013)
Kieran Darcy-Smith,Wish You Were Here (2012/I)
Shinya Kawamo,Turû tiâzu (2008)
Michael Cuesta,12 and Holding (2005),Kill the Messenger (2014),L.I.E. (2001),Roadie (2011),Tell-Tale (2009)
Scott (III) Cooper,Crazy Heart (2009),Out of the Furnace (2013)
Guy Édoin,Marécages (2011)
Ermanno Olmi,Cantando dietro i paraventi (2003),Centochiodi (2007),Il mestiere delle armi (2001),Il villaggio di cartone (2011),Tickets (2005),Torneranno i prati (2014),Venice 70: Future Reloaded (2013)
John (I) Lindgren,Stockholm Boogie (2005)
Juanfer Andrés,Musarañas (2014)
Andrzej Seweryn,Kto nigdy nie zyl (2006)
François Prévost,Ce qu'il reste de nous (2004)
Baris Bayraktar,Pamuk Prenses 2 (2005)
Tomorowo Taguchi,Iden & Tity (2003)
Richmond Riedel,Target Practice (2008/II)
William (IV) Baker,White Diamond (2007)
Julian (II) Adams,Strike the Tent (2005/I)
Sharat Katariya,10ml LOVE (2010),Dum Laga Ke Haisha (2015)
Michel Orion Scott,The Horse Boy (2009)
