Catherine Hardwicke,Lords of Dogtown (2005),Plush (2013),Red Riding Hood (2011),The Nativity Story (2006),Thirteen (2003),Twilight (2008/I)
Yong-ki Jeong,Gamunui buhwal: Gamunui yeonggwang 3 (2006),Gamunui wigi: Gamunui yeonggwang 2 (2005),Inhyeongsa (2004),Keo-peul-jeu (2011),Wonseu-eopon-eo-taim (2008)
Seiji Kishi,Ansatsu kyôshitsu (2015),Seto no hanayome (2007)
Jonathan (VII) Butler,The Cuckold (2009)
Giacomo Campiotti,Mai + come prima (2005),Doctor Zhivago (2002)
Hasan Karacadag,D@bbe (2006),D@bbe 2 (2009),Dabbe: Bir cin vakasi (2012),Dabbe: Cin Çarpmasi (2013),Dabbe: Zehr-i Cin (2014),El-Cin (2013),Semum (2008)
Giles Daoust,Artefacts (2007),The Room (2006)
Luigi Cecinelli,Niente può fermarci (2013),Visions (2009/II)
Rob Heydon,Ecstasy (2011/II)
Ari Palitz,Unbeatable Harold (2006)
David (I) Devine,Bailey's Billion$ (2005)
Brian (III) O'Malley,Let Us Prey (2014)
Jonathan Dayton,Little Miss Sunshine (2006),Ruby Sparks (2012)
Omar Shargawi,Do Not Forget Me Istanbul (2011),Gå med fred Jamil - Ma salama Jamil (2008)
Dennis Bots,Achtste Groepers Huilen Niet (2012),Anubis: Het pad der 7 zonden (2008),Oorlogsgeheimen (2014),Zoop in Afrika (2005)
Carl Medland,The Cost of Love (2011)
Elia Schneider,Punto y raya (2004)
Babis Makridis,L (2012)
Jean-Julien Chervier,La fonte des neiges (2009)
Kai-Cheung Chung,A1 tou tiao (2004),Gu dao jing hun (2011)
Christoph Schnee,Was guckst Du?! (2001)
Yun-ho Yang,Airiseu: Deo mubi (2010),Baramui paiteo (2004),Ga-myeon (2007),Holli-dei (2006)
Gi-hoon Jeong,Aeja (2009),Ban-chang-ggo (2012)
Dirk Lütter,Die Ausbildung (2011)
D.J. (II) Evans,Daddy's Girl (2006/I)
Barbara (I) Stepansky,Final Recourse (2013),Hurt (2009)
Julian Kean,The Devil's Tattoo (2003)
Phillip (I) Hudson,Homeworld (2008)
Rafael Eisenman,Underground (2011/I)
Michael (IV) Connors,Recalled (2012/I)
Donal MacIntyre,Hooligan (2012/II),Sins of the Father (2011)
Joe Walser,Zero Dark Dirty (2013)
Morten Arnfred,Den store dag (2005),Lykkevej (2003)
Ibolya Fekete,Chico (2001)
Jeroen Berkvens,A Skin Too Few: The Days of Nick Drake (2002)
Minoru Kawasaki,Girara no gyakushû: Tôya-ko Samitto kikiippatsu (2008),Ika resuraa (2004),Koara kachô (2005),Nihon igai zenbu chinbotsu (2006)
Luca Severi,Venice 70: Future Reloaded (2013)
Ra'anan Alexandrowicz,Massa'ot James Be'eretz Hakodesh (2003)
Tomasz Konecki,Cialo (2003),Idealny facet dla mojej dziewczyny (2009),Lejdis (2008),Testosteron (2007)
Don (II) Henry,Desert of Blood (2008)
Larry Wessel,Iconoclast (2010)
David (III) Boone,The Horror Vault (2008)
Mark S. Wright,50 Kisses (2014)
